source_models,source_checkpoints,target_model,target_checkpoint,attack,epsilon,alpha,steps,momentum,random_start,diversity_prob,resize_rate,samples,source_clean_acc,target_clean_acc,joint_clean_acc,adv_error_rate_all,transfer_asr_target_clean,transfer_asr_joint_clean,mean_ssim_target_clean,mean_ssim_joint_clean,transfer_score_target_clean,transfer_score_joint_clean,family,config_id,source_protocol
resnet18,models_public\resnet18_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,0.9375,0.96875,0.90625,0.875,0.8709677419354839,0.8620689655172413,0.9880620815135814,0.9881243133544921,86.0570200027958,85.18313046159415,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_resnet18_to_others
resnet18,models_public\resnet18_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,0.9375,0.96875,0.9375,0.9375,0.9354838709677419,0.9333333333333333,0.9887891966721107,0.9885340418134417,92.49963452739101,92.26317723592122,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_resnet18_to_others
resnet34+vgg16+densenet121,models_public\resnet34_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet18,models_public\resnet18_best.pt,ensemble,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,1.0,0.9375,0.9375,0.90625,0.9,0.9,0.9915058701126663,0.9915058701126663,89.23552831013997,89.23552831013997,ensemble,ens_e8_a2_s10_m1.0,leave_one_out_ensemble
resnet18+vgg16+densenet121,models_public\resnet18_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,ensemble,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,0.96875,1.0,0.96875,1.0,1.0,1.0,0.9914649426937103,0.9916889436783329,99.14649426937103,99.16889436783329,ensemble,ens_e8_a2_s10_m1.0,leave_one_out_ensemble
resnet18+resnet34+densenet121,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,ensemble,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,0.90625,0.9032258064516129,0.9032258064516129,0.9914147513253349,0.9914147513253349,89.54713882938508,89.54713882938508,ensemble,ens_e8_a2_s10_m1.0,leave_one_out_ensemble
resnet18+resnet34+vgg16,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\vgg16_best.pt,densenet121,models_public\densenet121_best.pt,ensemble,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,1.0,1.0,1.0,0.9917732669461158,0.9917732669461158,99.17732669461158,99.17732669461158,ensemble,ens_e8_a2_s10_m1.0,leave_one_out_ensemble
resnet34+vgg16+densenet121,models_public\resnet34_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet18,models_public\resnet18_best.pt,ensemble,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,1.0,0.9375,0.9375,0.84375,0.8333333333333334,0.8333333333333334,0.9920290756225586,0.9920290756225586,82.66908963521323,82.66908963521323,ensemble,ens_e8_a1_s12_m1.0,leave_one_out_ensemble
resnet18+vgg16+densenet121,models_public\resnet18_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,ensemble,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,0.96875,1.0,0.96875,0.96875,0.96875,0.967741935483871,0.9922153719009892,0.9924238840738933,96.12086415290833,96.04102103940903,ensemble,ens_e8_a1_s12_m1.0,leave_one_out_ensemble
resnet18+resnet34+densenet121,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,ensemble,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,0.875,0.8709677419354839,0.8709677419354839,0.9919845792982314,0.9919845792982314,86.39865690662015,86.39865690662015,ensemble,ens_e8_a1_s12_m1.0,leave_one_out_ensemble
resnet18+resnet34+vgg16,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\vgg16_best.pt,densenet121,models_public\densenet121_best.pt,ensemble,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,0.9375,0.9354838709677419,0.9354838709677419,0.9923018751473263,0.9923018751473263,92.82823993313697,92.82823993313697,ensemble,ens_e8_a1_s12_m1.0,leave_one_out_ensemble
resnet34+vgg16+densenet121,models_public\resnet34_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet18,models_public\resnet18_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,1.0,0.9375,0.9375,1.0,1.0,1.0,0.9874893506368001,0.9874893506368001,98.74893506368001,98.74893506368001,ensemble,ens_e10_a2_s12_m1.0,leave_one_out_ensemble
resnet18+vgg16+densenet121,models_public\resnet18_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,0.96875,1.0,0.96875,1.0,1.0,1.0,0.9872718453407288,0.9876040797079763,98.72718453407288,98.76040797079763,ensemble,ens_e10_a2_s12_m1.0,leave_one_out_ensemble
resnet18+resnet34+densenet121,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,0.9375,0.9354838709677419,0.9354838709677419,0.9874181089730099,0.9874181089730099,92.3713714845719,92.3713714845719,ensemble,ens_e10_a2_s12_m1.0,leave_one_out_ensemble
resnet18+resnet34+vgg16,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\vgg16_best.pt,densenet121,models_public\densenet121_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,1.0,1.0,1.0,0.9877575597455425,0.9877575597455425,98.77575597455424,98.77575597455424,ensemble,ens_e10_a2_s12_m1.0,leave_one_out_ensemble
